study_hours,attendance,assignment_completion,midterm_score,final_score,project_score,backlogs,sleep_hours,stress,anxiety,depression,motivation,concentration,time_management,self_discipline,social_media_hours,gaming_hours,netflix_hours,screen_time,physical_activity,junk_food_frequency,caffeine_mg,late_night_frequency,procrastination_score,family_income,parental_education_level,internet_quality,library_visits,online_courses_completed,part_time_hours,peer_study_group,relationship_status,hostel_student,extracurricular_hours,phone_unlocks_per_day,previous_gpa,class_participation,weekly_study_sessions,group_study_hours,financial_stress,gpa,performance_level
0.0,52.177338,63.753662,28.889177,27.667013,38.963234,5,6.201076,1.7006127,39.207016,34.207016,5.9433436,4.6454773,5.5835776,5.5835776,4.544351,3.0295675,3.0295675,10.603486,2.9704325,4.0295677,197.89316,3.0295675,6.44599,18877.443,1,3.3777974,0.0,0,8.103622,0,1,1,4.6576324,80.59135,2.888918,2.5095227,0.9259452,0.0,5.9026704,0.45491296,Low
4.648366,77.81817,67.458015,65.49824,71.597885,73.13169,2,6.4115324,3.1289432,50.39302,45.39302,5.817434,6.340348,5.8305345,5.8305345,3.2418215,2.1612144,2.1612144,7.56425,3.8387856,3.1612144,186.12585,2.1612144,5.33068,11184.469,2,4.6179595,2.3665493,1,4.794665,1,0,1,2.4639852,63.224285,6.5498238,5.197084,3.3665493,3.3665493,5.408242,1.1415623,Low
4.589209,81.16771,89.32998,59.586575,64.50389,67.614136,1,5.6172833,5.9631634,69.86262,64.86262,6.6265783,4.648264,7.2886653,7.2886653,4.456393,2.9709284,2.9709284,10.39825,3.0290716,3.9709284,238.75949,2.9709284,4.682263,46292.24,3,5.984552,1.9724382,2,5.9984903,0,1,0,4.316227,79.41857,5.9586573,6.2611036,2.972438,1.9724382,5.3396225,0.44380394,Low
3.2802672,71.4716,70.4216,54.496605,58.395924,62.863495,3,6.347614,6.3309236,74.26406,69.26406,5.219305,4.015503,6.0281067,6.0281067,2.0013149,1.33421,1.33421,4.669735,4.66579,2.33421,193.33554,1.33421,4.306103,21818.17,2,4.0928254,1.633107,0,4.701103,0,0,1,3.395,46.6842,5.4496603,4.661214,2.633107,1.633107,7.5247784,0.4376218,Low
2.783598,69.90975,75.95058,49.38934,52.26721,58.096718,3,6.801289,2.7499034,48.427177,43.427177,6.449133,5.3974776,6.396705,6.396705,2.1905024,1.460335,1.460335,5.111172,4.539665,2.460335,161.30908,1.460335,4.0636296,8395.35,3,5.250419,1.2926227,0,5.167712,0,0,0,4.1040826,49.2067,4.938934,4.6893277,2.2926226,1.2926227,4.6447263,0.7383205,Low
2.9307463,69.05319,66.39678,52.8814,56.45768,61.355976,3,6.2803793,1.4758816,37.699966,32.699966,6.1697865,6.345429,5.759785,5.759785,4.3968644,2.931243,2.931243,10.259351,3.068757,3.931243,192.6961,2.931243,6.171458,17645.254,1,3.6431468,1.5254267,0,6.405816,0,1,1,3.2343585,78.62486,5.2881403,4.285212,2.5254269,1.5254267,5.536851,0.9744375,Low
2.1770382,65.04338,64.94915,47.5905,50.108597,56.417797,4,6.2913966,3.9105003,55.984394,50.984394,5.463797,4.7737403,5.6632767,5.6632767,3.2667463,2.177831,2.177831,7.622408,3.822169,3.177831,194.43993,2.177831,5.514554,16618.312,3,5.71576,1.1726999,0,6.005131,0,0,0,3.4905767,63.556618,4.75905,3.8359766,2.1727,1.1726999,4.6832,0.5813667,Low
8.417256,100.0,94.036476,87.1203,97.544365,93.31228,0,5.734102,7.799744,83.89981,78.89981,6.472438,5.5480328,7.602432,7.602432,3.2637067,2.1758044,2.1758044,7.615316,3.8241956,3.1758044,233.27158,2.1758044,3.5733728,20537.215,3,5.0967684,3.80802,4,3.3677843,1,0,0,2.7944114,63.51609,8.71203,8.410452,4.80802,4.80802,7.163219,0.9077868,Low
7.066341,93.22978,87.38849,78.65044,87.380516,85.407074,0,6.447771,5.990858,71.93892,66.93892,6.427935,5.7807674,7.1592326,7.1592326,1.8403522,1.2269014,1.2269014,4.294155,4.7730985,2.2269015,186.71562,1.2269014,3.067669,7569.9946,3,5.915945,3.2433622,3,2.983539,1,0,0,2.9158704,44.53803,7.865043,7.4025946,4.2433624,4.2433624,5.5466495,0.953849,Low
5.2174807,82.909065,80.929985,66.39861,72.67833,73.97204,1,6.9587126,2.5341125,47.16295,42.16295,6.8232336,6.6157107,6.7286654,6.7286654,1.7940855,1.196057,1.196057,4.1861997,4.803943,2.196057,151.22284,1.196057,3.4673915,24071.096,3,5.090986,2.426574,2,3.769483,1,0,0,3.3020914,43.92114,6.639861,6.1552396,3.426574,3.426574,4.7198772,1.01001,Low
6.4864388,86.22354,62.748074,80.46127,89.55353,87.09719,2,6.310953,4.1042075,57.4812,52.4812,5.2671647,6.8653383,5.516538,5.516538,3.118269,2.078846,2.078846,7.275961,3.921154,3.078846,193.40746,2.078846,5.562308,30530.412,3,5.630446,3.3640847,1,3.7147613,1,0,0,1.1524534,61.57692,8.046127,5.880623,4.3640847,4.3640847,4.8683004,1.1350543,Low
3.046272,69.96599,68.40778,53.245094,56.89411,61.69542,3,6.4391923,2.5013964,45.748657,40.748657,6.0355635,5.833096,5.893852,5.893852,3.437504,2.2916694,2.2916694,8.020843,3.7083306,3.2916694,183.76404,2.2916694,5.397817,17957.031,2,4.135283,1.549673,0,5.7419963,0,0,1,3.3441792,65.83339,5.3245096,4.4435253,2.5496728,1.549673,5.581294,0.8149553,Low
2.1832325,60.579205,37.978252,54.37968,58.25562,62.754368,5,6.7611666,3.036681,50.487732,45.487732,3.848959,5.592797,3.8652167,3.8652167,2.187237,1.4581579,1.4581579,5.103553,4.541842,2.458158,164.11154,1.4581579,6.5929413,26837.65,4,6.6180053,1.6253121,0,4.8328457,0,0,0,1.2399046,49.16316,5.4379683,2.4905288,2.625312,1.6253121,3.4145098,0.4473475,Low
4.3111844,81.96006,100.0,54.227673,58.073208,62.612495,1,7.0562105,3.8612409,57.33578,52.33578,7.9171295,5.1261263,8.161655,8.161655,0.8912219,0.5941479,0.5941479,2.0795178,5.405852,1.5941479,146.43684,0.5941479,1.4324924,29273.32,3,5.823787,1.6151783,2,3.9789696,0,0,0,5.5464773,31.88296,5.4227676,6.776834,2.6151783,1.6151783,4.6652646,1.003663,Low
5.553023,82.70051,69.61238,71.744576,79.09349,78.9616,2,6.636869,5.5540977,69.08869,64.08869,5.337869,5.5103927,5.974159,5.974159,1.4440712,0.96271414,0.96271414,3.3694994,5.037286,1.9627142,174.4224,0.96271414,3.9885557,40474.414,3,5.512674,2.7829716,1,3.1797426,1,0,0,2.191187,39.254284,7.1744576,5.75713,3.7829716,3.7829716,5.7599053,0.9010526,Low
1.8534472,62.048622,56.688324,47.22877,49.674526,56.08019,4,6.4340043,1.0,33.98366,28.983662,5.646433,6.2163405,5.112555,5.112555,4.158967,2.7726445,2.7726445,9.704256,3.2273555,3.7726445,183.17934,2.7726445,6.6600895,5331.59,2,4.417566,1.1485848,0,6.6240597,0,1,1,2.9639702,75.45289,4.722877,3.2611399,2.1485848,1.1485848,4.514678,0.71008855,Low
1.5294386,62.41787,68.624054,41.814777,43.17773,51.027126,4,6.4733033,1.0,30.780886,25.780886,6.5489073,6.068926,5.9082704,5.9082704,4.233237,2.8221579,2.8221579,9.877553,3.1778421,3.8221579,184.66473,2.8221579,5.9138875,15722.838,2,4.256653,0.7876518,0,7.0345063,0,1,1,4.1206183,76.44316,4.1814775,3.6959221,1.7876518,0.7876518,4.462073,0.6979419,Low
0.68068045,57.17373,62.621952,36.949615,37.33954,46.48631,5,6.3474507,2.2667055,43.782055,38.782055,5.715395,4.877837,5.50813,5.50813,3.8307247,2.5538163,2.5538163,8.938357,3.4461837,3.5538163,189.28156,2.5538163,6.0456862,12356.296,3,5.157432,0.46330768,0,7.090509,0,1,0,4.044822,71.07633,3.6949615,2.9714377,1.4633077,0.46330768,4.4280386,0.29312727,Low
4.7453504,81.23027,85.02112,61.834846,67.20182,69.712524,1,6.583063,3.289753,51.98504,46.98504,6.93524,5.9899874,7.001408,7.001408,2.6317077,1.7544718,1.7544718,6.140651,4.245528,2.7544718,175.53168,1.7544718,3.753064,20449.85,1,3.4929678,2.122323,2,4.6321487,1,0,1,3.8790848,55.089436,6.1834846,6.123731,3.122323,3.122323,6.639368,0.98843575,Low
1.1900036,58.5983,55.889706,42.4526,43.94312,51.622425,5,6.5899916,1.0,34.05895,29.058949,5.590682,5.89291,5.059314,5.059314,3.686489,2.4576592,2.4576592,8.601808,3.5423408,3.4576592,173.72978,2.4576592,6.3983455,15776.392,2,4.3154,0.8301734,0,6.627486,0,0,1,3.2291405,69.15319,4.2452602,2.889487,1.8301734,0.8301734,4.621863,0.504462,Low
1.5907663,61.42754,60.842255,44.220184,46.06422,53.27217,4,7.1798987,1.0,18.08338,13.083381,6.453371,7.075787,5.3894835,5.3894835,2.8753016,1.9168677,1.9168677,6.7090373,4.0831323,2.9168677,157.50603,1.9168677,5.5273843,9986.32,1,3.9779024,0.94801223,0,5.9688554,0,0,1,3.4414713,58.337357,4.4220185,3.3374958,1.9480122,0.94801223,3.8943229,0.6305977,Low
0.94990146,56.212337,48.776974,42.430016,43.91602,51.60135,5,6.0680823,4.9254155,63.0938,58.0938,4.1486716,3.9557478,4.5851316,4.5851316,3.5101252,2.3400834,2.3400834,8.190291,3.6599166,3.3400834,209.45665,2.3400834,6.754952,19123.365,2,4.744638,0.8286678,0,6.5114155,0,0,1,2.7564638,66.80167,4.243002,2.4137995,1.8286679,0.8286678,6.128282,0.095816426,Low
0.47231755,59.320763,81.75504,30.603622,29.724346,40.56338,4,6.7998834,3.080734,50.905243,45.905243,6.7534947,3.979892,6.7836695,6.7836695,2.0460353,1.3640236,1.3640236,4.774082,4.6359763,2.3640234,161.72804,1.3640236,3.5803542,18444.836,2,4.8847594,0.040241443,0,6.323782,0,0,1,5.7434278,47.28047,3.060362,3.8239107,1.0402415,0.040241443,5.17559,0.52832335,Low
7.821282,97.59671,90.941795,83.424164,93.109,89.86256,0,6.612374,3.6883276,55.0403,50.0403,7.22811,7.225591,7.3961196,7.3961196,2.36046,1.57364,1.57364,5.50774,4.42636,2.57364,174.09247,1.57364,3.1775203,16852.496,2,4.912233,3.5616112,3,3.012029,1,0,1,2.8345087,51.4728,8.342417,7.957731,4.561611,4.561611,5.423787,1.0438825,Low
0.92200905,56.08485,48.848827,42.20286,43.643433,51.389336,5,6.4300523,5.4641304,67.94859,62.948597,3.991635,3.616951,4.589922,4.589922,2.1329267,1.4219512,1.4219512,4.976829,4.5780487,2.421951,187.29984,1.4219512,5.8320293,17479.467,1,3.9938917,0.81352407,0,5.608427,0,0,1,2.7763977,48.439022,4.220286,2.4034457,1.8135241,0.81352407,7.2026815,0.17385529,Low
8.287552,100.0,100.0,83.443405,93.13208,89.88051,0,7.3315563,4.1610327,60.203747,55.203747,7.9834056,6.8826437,8.32353,8.32353,0.0,0.0,0.0,0.0,6.0712624,0.9287376,129.47246,0.0,1.0,54597.965,4,6.8025227,3.5628936,4,1.365844,1,0,0,3.7606368,18.57475,8.34434,8.886424,4.5628934,4.5628934,3.877727,1.3959213,Low
2.9263313,65.2205,43.533043,58.564224,63.27707,66.65994,4,6.7011337,3.91059,56.906975,51.906975,4.005304,5.4438167,4.235536,4.235536,1.9821806,1.3214537,1.3214537,4.6250877,4.6785464,2.3214538,168.74951,1.3214537,6.0859175,10224.349,1,3.964168,1.9042816,0,4.417172,0,0,1,1.3312546,46.429073,5.8564224,3.1398177,2.9042816,1.9042816,6.496297,0.5304272,Low
2.6255472,68.87355,74.47487,48.572884,51.287464,57.334694,3,6.470014,3.3030343,51.830288,46.830288,6.237315,5.1161733,6.298325,6.298325,2.9801397,1.9867599,1.9867599,6.9536595,4.0132403,2.98676,182.63313,1.9867599,4.688435,36637.312,4,6.167243,1.2381923,0,5.7485676,0,0,0,4.0601325,59.7352,4.8572884,4.536517,2.2381923,1.2381923,3.9547763,0.7199977,Low
5.484944,87.369415,99.668175,63.720036,69.46404,71.47203,0,6.5964437,1.0,26.791765,21.791765,8.751486,7.795218,7.977878,7.977878,4.103163,2.735442,2.735442,9.574046,3.264558,3.735442,182.06326,2.735442,3.7575638,25035.596,4,6.3620763,2.2480023,3,5.4874396,1,1,0,4.7298756,74.70884,6.3720036,7.2258806,3.2480023,3.2480023,2.0907078,1.0340545,Low
4.592911,77.434425,66.81924,65.24202,71.29043,72.892555,2,6.511244,4.215779,58.768642,53.768642,5.4956613,5.764892,5.787949,5.787949,2.4401495,1.6267663,1.6267663,5.693682,4.373234,2.6267664,180.96078,1.6267663,4.838817,19326.932,2,4.304273,2.349468,1,4.2772985,1,0,1,2.4384813,52.535328,6.524202,5.1374173,3.349468,3.349468,6.280303,0.88484234,Low
5.8564873,88.201706,93.51565,68.04474,74.65369,75.50842,0,6.4508057,6.22354,73.69086,68.69086,6.778014,4.9569254,7.5677094,7.5677094,1.7261317,1.1507545,1.1507545,4.0276403,4.8492455,2.1507545,186.75803,1.1507545,2.5830448,17344.84,4,6.0918574,2.5363162,3,3.6144383,1,0,0,4.0313935,43.015087,6.8044744,7.104026,3.5363162,3.5363162,5.487533,0.91536003,Low
2.361133,63.88904,52.50026,52.083435,55.500122,60.611206,4,7.136052,1.0,21.239094,16.239094,5.7920475,7.3896227,4.8333507,4.8333507,2.8174987,1.8783324,1.8783324,6.5741634,4.1216674,2.8783324,156.34998,1.8783324,6.044982,10271.619,2,4.458604,1.4722289,0,5.4061036,0,0,1,2.3611217,57.56665,5.2083435,3.3055794,2.472229,1.4722289,3.6240022,0.9114496,Low
3.1066272,68.466644,57.60105,56.39944,60.67933,64.63948,4,6.748786,1.8268228,41.38594,36.38594,5.460539,6.3342333,5.1734033,5.1734033,2.7704852,1.8469901,1.8469901,6.464465,4.15301,2.84699,163.67793,1.8469901,5.6735864,19596.783,2,4.153042,1.7599628,0,5.087027,0,0,1,2.4134407,56.9398,5.639944,3.9333663,2.7599628,1.7599628,5.2726874,0.85768723,Low
0.10810675,56.1011,73.363396,29.969952,28.963942,39.971954,4,6.5384727,1.0,14.299562,9.299562,7.414241,6.378026,6.2242265,6.2242265,5.0266085,3.351072,3.351072,11.728753,2.648928,4.3510723,200.53217,3.351072,6.126846,23986.479,1,3.808741,0.0,0,8.353075,0,1,1,5.2262297,87.02145,2.9969952,3.222223,0.9979968,0.0,3.8112297,0.5034151,Low
3.1542695,70.451904,68.08337,54.13618,57.963417,62.527103,3,5.4954996,5.1282516,63.32676,58.32676,5.427999,4.7206283,5.8722243,5.8722243,5.213896,3.4759305,3.4759305,12.165756,2.5240695,4.47593,245.56042,3.4759305,6.6037064,13575.254,0,1.6308013,1.6090786,0,6.866852,0,1,1,3.2631454,89.51861,5.413618,4.4813027,2.6090786,1.6090786,9.257649,0.46304893,Low
1.9176643,63.317986,62.377987,46.287987,48.54558,55.202118,4,5.946026,2.897236,47.60783,42.60783,5.5716047,5.2453437,5.4918656,5.4918656,4.8054523,3.2036347,3.2036347,11.212722,2.7963653,4.2036347,215.0814,3.2036347,6.711769,22414.408,2,4.735679,1.0858657,0,7.1177692,0,1,1,3.4060001,84.07269,4.6287985,3.5777314,2.0858657,1.0858657,5.104843,0.4693829,Low
1.0421509,62.767883,85.34278,33.980434,33.776524,43.715073,3,7.40253,1.0,25.137629,20.137629,7.851598,5.922854,7.022852,7.022852,1.7841514,1.1894343,1.1894343,4.16302,4.8105655,2.1894343,135.68303,1.1894343,3.166582,15611.67,3,5.5748277,0.2653624,0,5.924072,0,0,0,5.7574897,43.788685,3.3980436,4.2882147,1.2653624,0.2653624,2.767681,0.87465596,Low
4.0854945,73.60693,59.076767,63.372017,69.04642,71.14722,3,6.10962,3.4381511,52.03278,47.03278,5.2040253,6.0892825,5.271785,5.271785,4.0491734,2.6994488,2.6994488,9.448071,3.3005512,3.6994488,205.36497,2.6994488,6.4276643,31071.486,2,4.1010613,2.224801,0,5.474648,1,1,1,2.0469835,73.988976,6.3372016,4.4965854,3.224801,3.224801,6.034457,0.866786,Low
3.4528668,72.00152,68.42309,56.29073,60.548874,64.53802,3,6.626325,6.2902017,74.58574,69.58574,5.0753474,4.1136656,5.894872,5.894872,1.1458803,0.76392025,0.76392025,2.6737208,5.2360797,1.7639202,175.81963,0.76392025,3.8690479,53034.67,3,5.5542703,1.7527152,0,4.0112047,0,0,0,3.142157,35.278404,5.629073,4.647588,2.7527153,1.7527152,6.0847793,0.50408906,Low
4.3260446,74.62518,57.96977,65.45289,71.54347,73.08936,3,6.126406,4.536136,60.305435,55.305435,4.8544703,5.676497,5.1979847,5.1979847,3.5024548,2.3349698,2.3349698,8.172395,3.6650302,3.3349698,205.41046,2.3349698,6.1369853,12322.951,3,5.1524906,2.363526,0,4.9714437,1,0,0,1.8344586,66.699394,6.545289,4.5615106,3.363526,3.363526,5.5345387,0.80361056,Low
5.265343,79.997246,62.023167,71.48428,78.78114,78.718666,2,6.929693,1.7499298,41.21628,36.21628,5.7610016,7.3512,5.468211,5.468211,2.237943,1.491962,1.491962,5.221867,4.508038,2.491962,152.25816,1.491962,5.023751,18369.781,2,4.6516066,2.7656188,1,3.7263432,1,0,1,1.7025923,49.83924,7.1484284,5.23383,3.7656188,3.7656188,4.7628126,0.99572355,Low
1.2737657,60.30928,63.642704,41.142567,42.37108,50.39973,4,6.720656,1.5377817,39.15484,34.15484,5.9376855,5.4658484,5.57618,5.57618,2.9887414,1.9924943,1.9924943,6.97373,4.007506,2.9924943,165.15265,1.9924943,5.416314,27105.021,2,4.687053,0.7428378,0,6.2496567,0,0,1,3.8333423,59.849888,4.114257,3.319018,1.7428378,0.7428378,4.5899363,0.54261243,Low
3.2995467,70.98679,66.93436,55.513012,59.615612,63.812145,3,5.9606314,4.2140894,57.51709,52.51709,5.5450544,5.199728,5.795624,5.795624,4.167081,2.778054,2.778054,9.723189,3.221946,3.778054,215.48251,2.778054,5.98243,10052.578,2,4.3837895,1.7008674,0,6.0771866,0,1,1,3.0947566,75.56108,5.551301,4.4964914,2.7008674,1.7008674,6.11735,0.60977876,Low
2.5424273,68.8286,76.69875,47.393517,49.87222,56.233948,3,6.275472,1.3069394,36.421856,31.421858,6.8991885,6.0647774,6.4465837,6.4465837,4.4882717,2.992181,2.992181,10.472634,3.007819,3.992181,192.83482,2.992181,5.5455976,55078.484,4,6.4718585,1.1595677,0,6.8326135,0,1,0,4.287016,79.84362,4.7393517,4.6061516,2.1595678,1.1595677,2.6229322,0.8478146,Low
8.159249,95.54389,68.48589,91.5729,100.0,97.46803,0,5.914629,3.6416185,53.120056,48.120056,5.795058,7.8968563,5.8990593,5.8990593,4.5689096,3.0459397,3.0459397,10.660789,2.9540603,4.0459394,217.79437,3.0459397,6.14688,16108.535,4,6.2591414,4.10486,3,3.9410799,1,1,0,0.79419965,80.91879,9.1572895,7.003919,5.10486,5.10486,3.9488623,1.2304434,Low
6.572712,89.90291,82.23611,76.23631,84.483574,83.15389,1,6.769884,3.6414242,55.04292,50.04292,6.647643,6.7462263,6.8157406,6.8157406,1.887772,1.2585146,1.2585146,4.4048014,4.741485,2.2585146,164.16968,1.2585146,3.4427743,19894.656,3,5.1144166,3.0824208,2,3.1760938,1,0,0,2.7333198,45.17029,7.623631,6.8981614,4.082421,4.082421,5.2217784,1.1574123,Low
9.018781,100.0,81.27684,94.82165,100.0,100.0,0,6.704942,3.8658617,56.580082,51.580082,6.532453,7.882771,6.751789,6.751789,1.9903681,1.3269122,1.3269122,4.644192,4.673088,2.3269122,168.46597,1.3269122,3.5751228,32601.873,4,6.0182137,4.321443,4,2.0054688,1,0,0,1.4303459,46.538242,9.482165,8.073233,5.321443,5.321443,4.4204583,1.2946463,Low
3.0242214,69.16643,64.27193,54.113678,57.936413,62.5061,3,6.5683427,1.0,31.145231,26.145231,6.246621,6.864563,5.618129,5.618129,3.9262586,2.6175058,2.6175058,9.16127,3.3824942,3.6175058,178.52518,2.6175058,5.9993773,11217.84,3,5.0666585,1.6075785,0,6.0099273,0,1,0,3.01055,72.35011,5.411368,4.225707,2.6075785,1.6075785,3.676357,1.041998,Low
2.8027415,66.41196,54.389484,54.92319,58.90783,63.261642,4,6.1778893,2.751592,47.03719,42.03719,5.058059,5.8590665,4.959299,4.959299,4.1441007,2.7627337,2.7627337,9.669568,3.2372663,3.7627337,200.39793,2.7627337,6.803435,9148.862,1,3.1780157,1.661546,0,6.1011877,0,1,1,2.297753,75.25468,5.492319,3.620845,2.661546,1.661546,6.6244636,0.58274126,Low
0.0,44.918,51.628872,24.062563,21.875076,34.458393,6,5.7324004,4.972819,62.694042,57.694042,4.3521233,2.7579014,4.775258,4.775258,4.541157,3.027438,3.027438,10.596033,2.972562,4.0274377,230.55133,3.027438,7.2521796,20880.133,1,3.5348215,0.0,0,8.423267,0,1,1,4.1710873,80.54876,2.4062562,1.379429,0.60417086,0.0,7.3114476,0.0,
5.4024906,85.263405,89.5057,65.64226,71.770706,73.266106,1,6.706163,1.6994663,40.334866,35.334866,7.6225514,7.020493,7.30038,7.30038,2.9614193,1.9742796,1.9742796,6.909979,4.0257206,2.9742796,166.22305,1.9742796,3.6738997,13181.106,3,5.5572715,2.3761504,2,4.5981293,1,0,0,3.9242296,59.48559,6.5642257,6.6765304,3.3761504,3.3761504,3.7983859,1.0388796,Low
0.0,38.37788,57.8217,11.155972,6.3871655,22.41224,7,6.3506684,1.0,10.90098,5.90098,6.491414,5.3503327,5.188113,5.188113,5.793936,3.862624,3.862624,13.519184,2.137376,4.862624,215.87872,3.862624,7.6745105,11200.892,2,4.722788,0.0,0,10.118893,0,1,1,5.444382,97.25248,1.1155971,1.0,0.0,0.0,2.6706107,0.2941444,Low
5.8784733,83.5657,65.03998,75.32855,83.394264,82.30665,2,6.4798656,4.861256,63.53912,58.53912,5.218028,6.1192956,5.669332,5.669332,2.248056,1.498704,1.498704,5.245464,4.501296,2.498704,183.57368,1.498704,4.829372,17156.717,3,5.3173757,3.0219038,1,3.4768004,1,0,0,1.6474282,49.97408,7.5328555,5.6912355,4.0219035,4.0219035,5.5852323,0.647224,Low
5.316374,81.8391,71.54338,69.48696,76.38435,76.85449,2,5.6770816,4.773278,61.07302,56.07302,5.7337914,5.8942623,6.1028924,6.1028924,4.8043747,3.2029164,3.2029164,11.210208,2.7970836,4.2029166,233.82028,3.2029164,6.100024,20768.623,1,3.5417848,2.632464,1,5.5704527,1,1,1,2.4704282,84.05833,6.948696,5.7353563,3.632464,3.632464,7.196417,0.95178396,Low
3.1141636,69.703865,64.79826,54.656662,58.587994,63.012882,3,6.5661416,1.0602837,35.225945,30.225946,6.145686,6.628714,5.653218,5.653218,3.6880186,2.458679,2.458679,8.605376,3.541321,3.458679,174.3632,2.458679,5.8054614,10052.343,2,4.2799416,1.6437774,0,5.814902,0,0,1,3.0094404,69.173584,5.465666,4.296995,2.6437774,1.6437774,4.7351217,0.8978914,Low
